Name,Team,GrossSalary
Dyson Daniels,NOP,6059520
Chris Duarte,SAC,5893768
Taylor Hendricks,UTA,5848680
Moses Moody,GSW,5803269
Corey Kispert,WAS,5705887
Jeremy Sochan,SAS,5570040
Cason Wallace,OKC,5555880
Cody Williams,UTA,5469120
Alperen Sengun,HOU,5424654
Jalen Smith,IND,5417386
Johnny Davis,WAS,5291160
Jett Howard,ORL,5278320
Reggie Jackson,DEN,5250000
Trey Murphy III,NOP,5159854
Isaiah Collier,UTA,5150880
Ousmane Dieng,OKC,5027040
Dereck Lively II,DAL,5014560
Shake Milton,NYK,5000000
Nick Richards,CHO,5000000
Tre Mann,CHO,4908373
Jalen Williams,OKC,4775760
Gradey Dick,TOR,4763760
Jalen McDaniels,SAC,4741800
Miles McBride,NYK,4710144
Kel'el Ware,MIA,4655040
Jalen Duren,DET,4536840
Jordan Hawkins,NOP,4525680
Jalen Johnson,ATL,4510905
Isaiah Jackson,IND,4435381
Nickeil Alexander-Walker,MIN,4312500
Ochai Agbaji,TOR,4310280
Kobe Bufkin,ATL,4299000
Quentin Grimes,DET,4296682
Bones Hyland,LAC,4158439
Mark Williams,CHO,4094280
Keyonte George,UTA,4084200
Cam Thomas,BRK,4041249
Russell Westbrook,LAC,4027525
Kevin Love,MIA,4027525
Jaden Springer,BOS,4018363
Dwight Powell,DAL,4000000
Day'Ron Sharpe,BRK,3989122
Santi Aldama,MEM,3960531
Amir Coffey,LAC,3938271
AJ Griffin,HOU,3889920
Jalen Hood-Schifino,LAL,3879840
Dalton Knecht,LAL,3819120
Tari Eason,HOU,3695160
Jaime Jaquez Jr.,MIA,3685800
Brandin Podziemski,GSW,3519960
Dalen Terry,CHI,3510480
Cam Whitmore,HOU,3379080
Derrick Rose,MEM,3356271
Eric Gordon,PHO,3356271
Jake LaRavia,MEM,3352680
Noah Clowney,BRK,3244080
Malaki Branham,SAS,3217920
Dante Exum,DAL,3150000
Dariq Whitehead,BRK,3114240
Christian Braun,DEN,3089640
Josh Richardson,MIA,3051153
Christian Wood,LAL,3036040
Julian Champagnie,SAS,3000000
Kris Murray,POR,2990040
Walker Kessler,UTA,2965920
Josh Okogie,PHO,2956734
Olivier-Maxence Prosper,DAL,2870400
David Roddy,PHO,2847240
Torrey Craig,CHI,2845342
Damion Lee,PHO,2845342
Thomas Bryant,MIA,2845342
Marcus Sasser,DET,2755080
Dewayne Dedmon,DET,2748674
MarJon Beauchamp,MIL,2733720
Bruno Fernando,ATL,2717391
Ben Sheppard,IND,2663880
Drew Eubanks,PHO,2654644
Keita Bates-Diop,BRK,2654644
Yuta Watanabe,MEM,2654644
Chimezie Metu,DET,2654644
Blake Wesley,SAS,2624280
Nick Smith Jr.,CHO,2587200
Brice Sensabaugh,UTA,2571480
Ty Jerome,CLE,2560975
Julian Strawther,DEN,2552520
Wendell Moore Jr.,MIN,2537040
Kobe Brown,LAC,2533920
Ryan Dunn,PHO,2530800
Charles Bassey,SAS,2500000
Nikola Jović,MIA,2464200
Jaxson Hayes,LAL,2463946
Cam Reddish,LAL,2463946
Darius Bazley,UTA,2463946
DaQuan Jeffries,NYK,2463946
Oshae Brissett,BOS,2463946
Patrick Baldwin Jr.,WAS,2448840
Tristan Vukcevic,WAS,2424892
Peyton Watson,DEN,2413560
Vlatko Čančar,DEN,2346606
Mamadi Diakite,NYK,2273252
Aleksej Pokusevski,CHO,2273252
Garrison Mathews,ATL,2230253
JaVale McGee,DAL,2208856
Jared Butler,WAS,2196970
Jeremiah Robinson-Earl,NOP,2196970
Lindy Waters III,GSW,2196970
Dalano Banton,POR,2196970
Eugene Omoruyi,WAS,2196970
Matt Ryan,NOP,2196970
Kai Jones,LAC,2196970
Joshua Primo,LAC,2196970
Neemias Queta,BOS,2196970
Sam Merrill,CLE,2164993
Isaiah Joe,OKC,2164993
A.J. Lawson,DAL,2120693
Vince Williams Jr.,MEM,2120693
Colby Jones,SAC,2120693
E.J. Liddell,NOP,2120693
Kenneth Lofton Jr.,UTA,2120693
Keon Ellis,SAC,2120693
A.J. Green,MIL,2120693
Orlando Robinson,MIA,2120693
Kendall Brown,IND,2120693
Stanley Umude,DET,2120693
Jericho Sims,NYK,2092344
Sam Hauser,BOS,2092344
Duop Reath,POR,2048780
Kennedy Chandler,MEM,2019699
Andrew Nembhard,IND,2019699
Jaden Hardy,DAL,2019699
Christian Koloko,TOR,2019699
Jabari Walker,POR,2019699
Caleb Houstan,ORL,2019699
Jaylin Williams,OKC,2019699
Josh Minott,MIN,2019699
Bryce McGowens,CHO,2019699
Jose Alvarado,NOP,1988598
Aaron Wiggins,OKC,1988598
JT Thor,CHO,1988598
Sidy Cissoko,SAS,1891857
Ricky Council IV,PHI,1891857
GG Jackson II,MEM,1891857
Jalen Pickett,DEN,1891857
Hunter Tyson,DEN,1891857
Julian Phillips,CHI,1891857
Jordan Walsh,BOS,1891857
Rayan Rupert,POR,1891857
Leonard Miller,MIN,1891857
Chris Livingston,MIL,1891857
Maxwell Lewis,LAL,1891857
Trayce Jackson-Davis,GSW,1891857
Mouhamed Gueye,ATL,1891857
Javon Freeman-Liberty,TOR,1891857
Toumani Camara,POR,1891857
Andre Jackson Jr.,MIL,1891857
Gui Santos,GSW,1891857
Craig Porter Jr.,CLE,1891857
Onuralp Bitim,CHI,1891857
Jalen Wilson,BRK,1891857
Ricky Rubio,CLE,1301031
Eric Bledsoe,POR,1300000
Kevin Porter Jr.,OKC,1000000
Nik Stauskas,IND,702310
Ryan Rollins,WAS,600000
Juwan Morgan,IND,576229
Malik Fitts,IND,555216
Jordan Goodwin,BRK,325590
Didi Louzada,POR,268032
